"Path","Root","Extension","SizeBytes","IsText","Lines"
"backend\conductor\accept_trip_request.php","backend",".php","12310","True","283"
"backend\conductor\activar_conductor.php","backend",".php","940","True","28"
"backend\conductor\actualizar_disponibilidad.php","backend",".php","4367","True","96"
"backend\conductor\actualizar_ubicacion.php","backend",".php","7399","True","161"
"backend\conductor\debt_payment_context.php","backend",".php","9996","True","190"
"backend\conductor\driver_auth.php","backend",".php","3281","True","96"
"backend\conductor\get_demand_zones.php","backend",".php","12216","True","298"
"backend\conductor\get_estadisticas.php","backend",".php","8662","True","172"
"backend\conductor\get_ganancias.php","backend",".php","9845","True","200"
"backend\conductor\get_historial.php","backend",".php","13920","True","293"
"backend\conductor\get_info.php","backend",".php","4676","True","117"
"backend\conductor\get_pendientes_empresa.php","backend",".php","1956","True","55"
"backend\conductor\get_pending_requests.php","backend",".php","6534","True","166"
"backend\conductor\get_profile.php","backend",".php","8695","True","200"
"backend\conductor\get_solicitudes_pendientes.php","backend",".php","10993","True","271"
"backend\conductor\get_viajes_activos.php","backend",".php","2716","True","69"
"backend\conductor\heartbeat.php","backend",".php","2215","True","62"
"backend\conductor\info.php","backend",".php","19","True","2"
"backend\conductor\reject_trip_request.php","backend",".php","3751","True","92"
"backend\conductor\report_debt_payment.php","backend",".php","8357","True","178"
"backend\conductor\search_companies.php","backend",".php","2713","True","78"
"backend\conductor\solicitudes_vinculacion.php","backend",".php","12980","True","333"
"backend\conductor\submit_verification.php","backend",".php","4929","True","139"
"backend\conductor\update_license.php","backend",".php","4980","True","120"
"backend\conductor\update_location.php","backend",".php","132","True","3"
"backend\conductor\update_profile.php","backend",".php","8662","True","206"
"backend\conductor\update_trip_status.php","backend",".php","28655","True","583"
"backend\conductor\update_vehicle.php","backend",".php","10651","True","216"
"backend\conductor\upload_document.php","backend",".php","4656","True","89"
"backend\conductor\upload_documents.php","backend",".php","6557","True","148"
"backend\conductor\upload_vehicle_photo.php","backend",".php","2809","True","68"
"backend\conductor\vehicle_catalog.php","backend",".php","10961","True","293"
"backend\conductor\verify_biometrics.php","backend",".php","9833","True","241"
"backend\conductor\data\vehicle_catalog_co.php","backend",".php","3207","True","61"
"backend\conductor\tracking\finalize.php","backend",".php","61609","True","1401"
"backend\conductor\tracking\get_tracking.php","backend",".php","22040","True","529"
"backend\conductor\tracking\register_point.php","backend",".php","14711","True","381"
"backend\conductor\tracking\register_points_batch.php","backend",".php","3189","True","85"
"backend\conductor\tracking\tracking_ingest_service.php","backend",".php","20652","True","555"
"backend\conductor\tracking\tracking_schema_helpers.php","backend",".php","1785","True","57"
"backend\confianza\calculate_score.php","backend",".php","3682","True","99"
"backend\confianza\ConfianzaService.php","backend",".php","21727","True","541"
"backend\config\.env","backend",".env","1701","True","41"
"backend\config\.env.example","backend",".example","1433","True","36"
"backend\config\.htaccess","backend",".htaccess","267","False","0"
"backend\config\app.php","backend",".php","393","True","12"
"backend\config\bootstrap.php","backend",".php","1290","True","39"
"backend\config\concurrency_service.php","backend",".php","18621","True","493"
"backend\config\config.php","backend",".php","1513","True","43"
"backend\config\database.php","backend",".php","1584","True","40"
"backend\config\google_oauth.php","backend",".php","894","True","26"
"backend\config\R2Service.php","backend",".php","15394","True","337"
"backend\config\redis.php","backend",".php","1040","True","31"
"backend\config\server_config.php","backend",".php","1149","True","40"
